"chr","median_ratio_logp","mean_ratio_logp","nsnp","median_ratio_z","mean_ratio_z"
1,1.12266812265387,1.08460032538203,47,1.08687774569138,1.0611487335588
2,0.899072331761771,0.916960229077833,17,0.929499286573509,0.945673940713627
3,1.03164044685478,1.04686566667898,24,1.02194713763664,1.02606102290188
4,1.03833237171754,1.03928620778148,29,1.03123365136623,1.03158785324532
5,1.01189824790187,1.03263306378478,30,1.00805671640387,1.02234448714572
6,0.897991529350185,0.922537263587956,91,0.933327833528722,0.931507736828852
7,0.920814802892924,0.99465950490356,16,0.934693787594565,0.98385044227018
8,1.06113321012617,1.03872223629324,70,1.04416894885076,1.02905217762463
9,0.875057234432734,0.924440835881112,3,0.886806537934208,0.933755868033512
10,1.10549939694595,1.05313444061359,23,1.06720062546566,1.03541746448908
11,1.10894988376688,1.07979323021503,109,1.07263710601412,1.0495861099061
12,1.17482244312295,1.17814646211347,49,1.11338086443797,1.12584617617032
13,1.10306106041286,1.07150179523417,4,1.07082625095375,1.05869089355326
14,0.955110759736995,0.930091806895223,4,0.970908724364252,0.942074757531862
15,0.938378991374623,0.93434399755364,25,0.94880419152682,0.952773443123763
16,1.01952089572586,1.01127970399787,55,1.01684320146175,1.01077539550394
17,0.942937253436285,0.934159010166683,22,0.956930632018092,0.938515804550282
18,0.942524282118276,0.956727615253864,4,0.953637726038705,0.966768972298822
19,1.13178342876604,1.12383288000671,38,1.09201500280301,1.08709219429568
20,0.965471561698668,0.994261368686998,18,0.974166573931767,0.997440210830599
21,1.07529987200726,1.07529987200726,1,1.04629277017443,1.04629277017443
